activation,hidden_layers,width,seed,L2_rel,Linf
SiLU,5,256,0,2.420526419961278e-05,4.6433558308772716e-05
SiLU,5,256,7,2.680569247068304e-05,4.317130716813278e-05
SiLU,5,256,103,2.553630151250533e-05,3.432645197287698e-05
SiLU,5,256,42,1.4029674028771833e-05,2.6372137692159958e-05
