x,t,u_fem,u_pinn,error
0.0,0.0,0.0,0.0,0.0
0.010101010101010102,0.0,0.03141075907812829,0.03172793349806765,0.0003171744199393575
0.020202020202020204,0.0,0.06279051952931337,0.0634239196565645,0.0006334001272511325
0.030303030303030304,0.0,0.09410831331851431,0.09505604330418266,0.0009477299856683469
0.04040404040404041,0.0,0.12533323356430426,0.12659245357374926,0.0012592200094450057
0.05050505050505051,0.0,0.15643446504023087,0.15800139597334992,0.0015669309331190484
0.06060606060606061,0.0,0.1873813145857246,0.1892512443604102,0.0018699297746855859
0.07070707070707072,0.0,0.21814324139654256,0.22031053278654067,0.002167291389998105
0.08080808080808081,0.0,0.2486898871648548,0.2511479871810792,0.0024581000162244293
0.09090909090909091,0.0,0.2789911060392293,0.28173255684142967,0.002741450802200396
0.10101010101010102,0.0,0.3149865196553048,0.3120334456984871,0.0029530739568176534
0.11111111111111112,0.0,0.34464292317451706,0.34202014332566877,0.002622779848848289
0.12121212121212122,0.0,0.3739592057378004,0.3716624556603275,0.0022967500774728755
0.13131313131313133,0.0,0.40290643571366264,0.4009305354066137,0.0019759003070489167
0.14141414141414144,0.0,0.431456045680959,0.4297949120891717,0.0016611335917873227
0.15151515151515152,0.0,0.45957986062148787,0.4582265217274104,0.0013533388940774604
0.16161616161616163,0.0,0.4872501257253323,0.4861967361004687,0.0010533896248635655
0.17171717171717174,0.0,0.5144395337815064,0.5136773915734064,0.0007621422081000029
0.18181818181818182,0.0,0.5411212521268758,0.5406408174555976,0.00048043467127822925
0.19191919191919193,0.0,0.5672689491267565,0.5670598638627707,0.00020908526398577543
0.20202020202020204,0.0,0.5928568201610592,0.5929079290546405,5.110889358128645e-05
0.21212121212121213,0.0,0.6178596130903343,0.6181589862206052,0.00029937313027084134
0.22222222222222224,0.0,0.6422526531765844,0.6427876096865394,0.0005349565099549425
0.23232323232323235,0.0,0.6660118674342517,0.6667690005162916,0.0007571330820399513
0.24242424242424243,0.0,0.6891138083873485,0.6900790114821119,0.0009652030947634449
0.25252525252525254,0.0,0.7115356772092853,0.7126941713788629,0.0011584941695775841
0.26262626262626265,0.0,0.73325534622256,0.7345917086575333,0.0013363624349733705
0.27272727272727276,0.0,0.7542513807361038,0.7557495743542583,0.0014981936181545086
0.2828282828282829,0.0,0.7745030601987338,0.7761464642917569,0.0016434040930231042
0.29292929292929293,0.0,0.7939903986478353,0.7957618405308321,0.001771441882996827
0.30303030303030304,0.0,0.8163392507171839,0.8145759520503357,0.001763298666848212
0.31313131313131315,0.0,0.8340784336131712,0.8325698546347714,0.0015085789783998438
