step,loss
0,85692.14838344391
1,40135.6897933016
2,28238.092642977714
3,21587.76437120532
4,15778.620745032393
5,11538.275735343166
6,7938.994535049825
7,6979.824919142642
8,6118.194662546832
9,4899.585549472942
10,3995.7738651907907
11,3567.167924135273
12,3203.9090020932663
13,2842.282103095925
14,2379.955087171799
15,2253.996211004316
16,1992.7577705605017
17,1633.9813202526543
18,1461.2832027862726
19,1336.935086932617
20,1170.9872081893513
21,1073.5166502225677
22,977.546775456152
23,901.5044111474675
24,824.5572511849141
25,752.0551653133476
26,704.3900563848104
27,680.5782016497092
28,675.5068207389477
29,597.2497968037927
30,579.6523019965616
31,565.2009071750368
32,511.55722686944824
33,496.6347323528036
34,458.18570343297023
35,441.43716111463704
36,425.27968308395924
37,387.49911809658164
38,390.0553538759603
39,374.6458132204169
40,356.44773821447285
41,354.82295020587907
42,322.1257791566584
43,326.00913187712496
44,317.3969744371735
45,309.4421334432941
46,310.2600143308174
47,317.26913100818115
48,281.6859535171923
49,289.5111254246921
50,259.84297227491317
51,290.49303371709254
52,280.99374265584254
53,278.2463232442637
54,282.3543782005454
55,264.5082921031254
56,260.1829020099358
57,277.0086629493562
58,240.8227359927566
59,238.51415237505887
60,231.1436982043891
61,222.58713972671652
62,233.1530953756005
63,233.52047332169224
64,207.55868914861722
65,212.0293501733385
66,198.17925435816446
67,218.15600879811242
68,207.73322789864528
69,214.04358097027136
70,217.04468748350664
71,200.1747892125484
72,192.95909151113335
73,201.94142021198263
74,192.17048767771576
75,192.7893779549481
76,187.63605719970573
77,194.1681565419591
78,186.7404710558406
79,179.34219718939602
80,168.79023869608073
81,192.73609375630414
82,189.39577071566305
83,174.63387328873637
84,172.82086313210013
85,173.2873245682423
86,163.94011535708606
87,160.84261467079637
88,164.71616260670498
89,168.47538543742277
90,171.25084255520505
91,158.72146161508277
92,159.83967458088256
93,158.93217089070663
94,158.45802096714092
95,157.65329587688706
96,154.16888313147192
97,165.01401351818362
98,163.7745052903517
99,161.81506422420807
100,143.6054675187938
101,160.78456996846367
102,151.8172005246673
103,151.85887386201415
104,150.94846039994866
105,152.17654782693066
106,153.27241772018982
107,142.02612906262243
108,141.3371531692855
109,147.89403584383066
110,138.24551236636216
111,138.33287224382522
112,141.80667769803455
113,155.60852525822523
114,143.4666465338596
115,134.49580847301456
116,146.29399310633434
117,129.3414999786425
118,131.47427000321477
119,130.6240994340155
120,135.64239098082345
121,134.89546518629462
122,134.80497082869607
123,126.42435588342494
124,139.3938412000504
125,125.69958671605322
126,121.52945844468044
127,123.21516230590555
128,129.74066036443273
129,125.65378077260497
130,116.45292303737111
131,121.21802520706548
132,123.79258793546366
133,117.27825302853455
134,123.90060895010454
135,114.66498819517194
136,115.99441249312983
137,120.14995392811493
138,114.90895904758763
139,113.80388504003426
140,111.72053641319842
141,115.11917630271033
142,116.41682229965744
143,117.1624566941561
144,116.6125265788757
145,103.13004198109603
146,120.99812336463143
147,124.24609872945757
148,121.23341498121017
149,110.85436539386671
150,116.61208159637337
151,113.43204946714867
152,111.49742835116793
153,101.91772293576453
154,109.45794810058341
155,107.1481672583025
156,100.81166684402965
157,98.83296381582976
158,104.108381227682
159,106.73516462091848
160,112.4076910638428
161,112.21823195385197
162,99.1892007559896
163,93.83361483138896
164,100.72723098146619
165,103.90354059072544
166,98.3779971514725
167,100.40055320953327
168,95.2467380871453
169,94.21687518683767
170,103.78678344203273
171,99.34499615091408
172,98.9114368360038
173,92.27922236832319
174,100.34276144234458
175,101.79106204818707
176,107.03652791478261
177,96.98339886846422
178,102.85650365833786
179,99.67445104380862
180,91.9528785639356
181,94.8591874186349
182,96.50393039140152
183,93.58419119221954
184,102.97208126821272
185,109.59603251744737
186,91.9078014834856
187,101.53554546287005
188,97.39712301665095
189,97.51072176521562
190,90.42230723723735
191,86.60591631253078
192,89.83023012586665
193,99.67292737452057
194,90.78368220643537
195,97.84025773447631
196,99.46467544318854
197,96.28558744276678
198,100.66880870318869
199,92.12992542636685
200,94.98897650559208
201,98.00562800949615
202,102.680709836616
203,94.95068784897599
204,97.20011123219737
205,98.00742426636516
206,93.31780156550246
207,85.71251464808702
208,90.50941503638037
209,87.70504880675813
210,82.36205579095324
211,95.85554642134078
212,92.51084411376128
213,85.62661631336057
214,83.3234489014963
215,83.45655964835527
216,86.59084699093225
217,87.94988700765434
218,84.51656722003855
219,85.48524937248376
220,87.44472359955274
221,88.81672450652512
222,80.66727913077354
223,83.66572625782014
224,77.65174230784031
225,84.9323998004241
226,81.59752475480047
227,85.36638606409704
228,84.56547705818642
229,83.93680956583125
230,78.16780020848454
231,89.27907972396035
232,81.94193930013826
233,75.69147480723605
234,78.39836479982665
235,79.7003822721526
236,78.91550953348757
237,74.8975347189741
238,74.0637255745389
239,77.86437514391616
240,84.2987745196863
241,75.93972075432838
242,79.23139900173759
243,78.59874442847959
244,73.33243668715997
245,84.69633984745501
246,75.28623270767318
247,82.59598444903608
248,76.65050578687882
249,78.6695321269939
250,72.82136271063413
251,76.12547139454479
252,75.17360743117462
253,81.2972185586815
254,75.18161227946506
255,75.38066905394719
256,70.41404264894173
257,73.39738454374432
258,77.9250765040867
259,74.75301909533634
260,77.8389726344913
261,81.1071712673001
262,72.0963166078497
263,72.81214357905213
264,68.77387552461292
265,69.21813575539734
266,81.53533423347517
267,75.81902562177227
268,68.72344781806862
269,69.20585325618056
270,68.42044845737138
271,64.10054497732155
272,64.78985981192714
273,80.72884806302974
274,75.64066626347467
275,74.2623747433133
276,69.15491345264715
277,75.11123357377416
278,74.73827903695299
279,72.41245394867077
280,72.7961808188102
281,63.749588932623034
282,64.78243480815178
283,69.79906315781517
284,69.53475836050438
285,66.01057011538312
286,70.40403222729418
287,65.73913072645392
288,69.17637250019065
289,65.45000266525625
290,67.57295152872719
291,68.04956933064898
292,64.63990447407997
293,71.67943092577134
294,75.31134725016717
295,68.28233086337674
296,69.01157368683947
297,67.79624012671492
298,68.07034911363576
299,67.54825742339686
300,65.02120394086825
301,62.78949309086561
302,67.56977176134248
303,65.16701302699015
304,68.92895055855685
305,63.30906229926028
306,60.31793876480567
307,63.932854673440055
308,60.87380339914758
309,67.98452452030072
310,67.58103380219595
311,64.81752215455437
312,64.48604727397569
313,61.77132700789168
314,62.770851954708334
315,64.37708481400465
316,61.57833149609951
317,61.310489001671506
318,57.85727037271044
319,68.20049940609519
320,63.007785909003346
321,66.32156520785809
322,64.22843174429998
323,59.65358466133235
324,60.87563319005881
325,64.61012705868524
326,61.46379618619326
327,63.76750651867041
328,59.91067607502207
329,53.42694086270036
330,57.81238628353363
331,62.098888242491086
332,57.78833393242833
333,60.81067732521674
334,64.77919349455524
335,59.99030068911977
336,55.55214017840396
337,59.11744723291653
338,57.735492267533125
339,59.543158123884886
340,52.715639944723
341,59.47135006541975
342,56.21499060817684
343,56.178616861417105
344,55.073459239354904
345,59.38775550858538
346,59.2756339562995
347,51.60419350846644
