activation,hidden_layers,width,seed,L2_rel,Linf
ReLU,3,64,0,0.5247670755228332,0.7277190753325746
ReLU,3,64,7,0.5335785991969532,0.7353097867792711
ReLU,3,64,103,0.5454671078586267,0.7509755054385667
ReLU,3,64,42,0.5434676645092956,0.755805338349075
