activation,hidden_layers,width,seed,L2_rel,Linf
tanh,5,64,0,0.000749245285987854,0.001485377550125122
tanh,5,64,7,0.0011758134933188558,0.0021938681602478027
tanh,5,64,103,0.0010461704805493355,0.0020840466022491455
tanh,5,64,42,0.0012376210652291775,0.002260148525238037
