activation,hidden_layers,width,seed,L2_rel,Linf
ReLU,2,128,0,0.516503769991767,0.7200469498280995
ReLU,2,128,7,0.5041509334362209,0.7079937287097846
ReLU,2,128,103,0.5120499264449176,0.7106881991668383
ReLU,2,128,42,0.5144229179794659,0.7108527171133017
