step,L2_loss,H1_loss,H2_loss,max_cond_L2,max_cond_H1,max_cond_H2
0,37.873874799563126,369.2066888154053,23422.057075858167,1113.8430909879385,19163.48475703567,5281.640054923897
1,98.10373709728793,678.5235128522954,80935.82581944477,1113.8430909879385,19163.48475703567,5281.640054923897
2,70.5892814880458,478.87254797341376,55248.9398085344,1113.8430909879385,19163.48475703567,5281.640054923897
3,13.543225882824746,351.83523524498355,14579.4490436347,1113.8430909879385,19163.48475703567,5281.640054923897
4,33.24960877200334,184.48269383391548,9676.362510041887,1113.8430909879385,19163.48475703567,5281.640054923897
5,51.288460241530196,186.3858463249916,13735.465543192575,1113.8430909879385,19163.48475703567,5281.640054923897
6,35.55843965902112,194.89602091216972,9125.921841642472,1113.8430909879385,19163.48475703567,5281.640054923897
7,12.731408737475347,180.0005359402216,3588.144633910967,1113.8430909879385,19163.48475703567,5281.640054923897
8,11.102985951452395,148.8891723505338,5436.628412683137,1113.8430909879385,19163.48475703567,5281.640054923897
9,17.52680879341758,108.34594572200761,6324.618167750761,1113.8430909879385,19163.48475703567,5281.640054923897
10,14.992631287927592,112.67187359503815,4090.140203939299,1113.8430909879385,19163.48475703567,5281.640054923897
11,8.886807208379167,115.8985185628026,2264.1483754977703,1113.8430909879385,19163.48475703567,5281.640054923897
12,9.024982629419762,124.99413165006227,3273.069620422271,1113.8430909879385,19163.48475703567,5281.640054923897
13,10.673189692667622,109.05874366874524,3940.6758912060545,1113.8430909879385,19163.48475703567,5281.640054923897
14,8.681909956784112,90.08749741809491,3170.9427937001483,1113.8430909879385,19163.48475703567,5281.640054923897
15,5.353875424127671,77.33406654233767,2118.811885530007,1113.8430909879385,19163.48475703567,5281.640054923897
16,7.431724707486912,79.09463228944308,2126.9333894569736,1113.8430909879385,19163.48475703567,5281.640054923897
17,9.122801427662058,83.68598051326302,2401.8101017703552,1113.8430909879385,19163.48475703567,5281.640054923897
18,7.165049591608875,75.64264276397247,2027.5047755659887,1113.8430909879385,19163.48475703567,5281.640054923897
19,5.13068966842372,63.35201653613216,1745.3467652397967,1113.8430909879385,19163.48475703567,5281.640054923897
20,6.034839375650218,65.23518412531757,1612.872832752248,1113.8430909879385,19163.48475703567,5281.640054923897
21,6.628863961164348,67.27174148622018,1722.9356114797292,1113.8430909879385,19163.48475703567,5281.640054923897
22,5.301894868324089,79.73029897855437,1492.808344738309,1113.8430909879385,19163.48475703567,5281.640054923897
23,5.223741866073863,73.77327622653826,1571.5773611512427,1113.8430909879385,19163.48475703567,5281.640054923897
24,5.261875254484884,56.005581665706934,1378.58595059342,1113.8430909879385,19163.48475703567,5281.640054923897
25,4.4882635959029,48.89387149959633,1452.70251598409,1113.8430909879385,19163.48475703567,5281.640054923897
26,4.436381588593417,43.49044388745017,1361.1642751518498,1113.8430909879385,19163.48475703567,5281.640054923897
27,4.557999941620157,46.871946609761096,1223.726269927958,1113.8430909879385,19163.48475703567,5281.640054923897
28,3.6596861982086106,43.21129786587726,1165.774887568839,1113.8430909879385,19163.48475703567,5281.640054923897
29,4.423058686029759,38.85596255350487,1105.6024128605263,1113.8430909879385,19163.48475703567,5281.640054923897
30,4.875665039533086,36.138994485583865,1254.8917955084457,1113.8430909879385,19163.48475703567,5281.640054923897
31,3.3078389640250725,37.255749518439046,1078.937197910655,1113.8430909879385,19163.48475703567,5281.640054923897
32,3.6343748418194344,32.366916122112116,1000.5303530877511,1113.8430909879385,19163.48475703567,5281.640054923897
33,4.8882172285776795,31.427714108433232,1028.5144185347408,1113.8430909879385,19163.48475703567,5281.640054923897
34,3.6373293711843555,27.521652592745067,939.1599528480289,1113.8430909879385,19163.48475703567,5281.640054923897
35,3.215054805276127,26.72024145225342,967.2144226113438,1113.8430909879385,19163.48475703567,5281.640054923897
36,3.3446041092343055,24.42225172698115,878.2860562237404,1113.8430909879385,19163.48475703567,5281.640054923897
37,3.013042502660827,24.950486520020487,1021.8841264121519,1113.8430909879385,19163.48475703567,5281.640054923897
38,3.0828571459355927,22.06676471240423,921.8364676439479,1113.8430909879385,19163.48475703567,5281.640054923897
