step,L2_loss,H1_loss,H2_loss,max_cond_L2,max_cond_H1,max_cond_H2
0,40.543518713378916,1107.6682698734087,123302.52605015355,1372.4315641988733,492.7876492817937,1312.361358745565
1,128.43285343074703,1968.7870628298892,183156.45442415244,1372.4315641988733,492.7876492817937,1312.361358745565
2,87.26894985071816,1228.9587864571342,84670.13541969724,1372.4315641988733,492.7876492817937,1312.361358745565
3,27.007194879846086,672.1846490519109,18336.84822416566,1372.4315641988733,492.7876492817937,1312.361358745565
4,34.455287600141745,203.79727670780335,19531.464920161052,1372.4315641988733,492.7876492817937,1312.361358745565
5,37.69826871483706,494.86255199922596,17144.873154527915,1372.4315641988733,492.7876492817937,1312.361358745565
6,21.123694663275238,564.9299619059723,13310.742287868714,1372.4315641988733,492.7876492817937,1312.361358745565
7,11.80045296520646,302.50337963216924,5408.151663107636,1372.4315641988733,492.7876492817937,1312.361358745565
8,12.469088844385976,139.87650811019296,8102.703070460285,1372.4315641988733,492.7876492817937,1312.361358745565
9,13.355600281041015,143.64890153596426,10392.78018729031,1372.4315641988733,492.7876492817937,1312.361358745565
10,7.667724782606915,113.63299183994177,5024.09976668937,1372.4315641988733,492.7876492817937,1312.361358745565
11,3.0590877636013203,102.59311928366206,4327.152390209529,1372.4315641988733,492.7876492817937,1312.361358745565
12,5.774818797480231,89.74772050389582,4528.173190544114,1372.4315641988733,492.7876492817937,1312.361358745565
13,7.151570812586703,68.1129166046204,3341.2056612259466,1372.4315641988733,492.7876492817937,1312.361358745565
14,3.8021314162709614,55.707610391065955,3020.48132634873,1372.4315641988733,492.7876492817937,1312.361358745565
15,1.2419943143101226,30.635159701630563,2575.5626283619176,1372.4315641988733,492.7876492817937,1312.361358745565
16,2.530172070422362,51.56040181845386,2538.353240905124,1372.4315641988733,492.7876492817937,1312.361358745565
17,3.150412814094319,48.42581514417237,1597.7549283746748,1372.4315641988733,492.7876492817937,1312.361358745565
18,2.018434811156074,29.82131417182204,1539.2160671293389,1372.4315641988733,492.7876492817937,1312.361358745565
19,1.471880840393337,30.109945741735572,1572.5915441058844,1372.4315641988733,492.7876492817937,1312.361358745565
20,1.5377690844716188,21.116440685217103,799.0565878586775,1372.4315641988733,492.7876492817937,1312.361358745565
21,1.6663819377335276,25.870522602964115,746.5306674936951,1372.4315641988733,492.7876492817937,1312.361358745565
22,1.4197983218359433,24.610579598641927,1036.7513107866687,1372.4315641988733,492.7876492817937,1312.361358745565
23,0.821872190461816,25.27589322915427,691.3336306877686,1372.4315641988733,492.7876492817937,1312.361358745565
24,1.061303450293119,18.050286916573633,725.8058795072516,1372.4315641988733,492.7876492817937,1312.361358745565
25,1.5841876275236046,9.021757535873846,636.4701850599008,1372.4315641988733,492.7876492817937,1312.361358745565
26,1.082932610418868,9.013865918300146,668.8131236821151,1372.4315641988733,492.7876492817937,1312.361358745565
27,0.35780801147839,10.473813288462551,662.2606198835629,1372.4315641988733,492.7876492817937,1312.361358745565
28,0.7024732617470991,11.375607550001412,568.6645895493222,1372.4315641988733,492.7876492817937,1312.361358745565
