step,L2_loss,H1_loss,H2_loss,max_cond_L2,max_cond_H1,max_cond_H2
32,45.038730272176466,498.676859076446,4866.770456403807,47623.54613627785,141789.52544608322,82562.04376067141
33,45.04973347932781,498.82487240122106,4863.790339446844,47623.54613627785,141789.52544608322,82562.04376067141
34,45.78084851237465,489.7096363311288,4926.659272348692,47623.54613627785,141789.52544608322,82562.04376067141
35,45.32159765232439,490.8572525077187,4881.375022009013,47623.54613627785,141789.52544608322,82562.04376067141
36,45.78175006781506,484.76385280488785,4920.704339819386,47623.54613627785,141789.52544608322,82562.04376067141
37,46.51652318978265,477.3597478594501,4982.186818850561,47623.54613627785,141789.52544608322,82562.04376067141
38,45.205073917564754,486.4776316357523,4864.870165712482,47623.54613627785,141789.52544608322,82562.04376067141
39,44.430690151415334,490.26089067412113,4790.110212478197,47623.54613627785,141789.52544608322,82562.04376067141
40,45.36025355092,481.26726352216366,4871.109820629219,47623.54613627785,141789.52544608322,82562.04376067141
41,45.874528147134235,475.65219909607475,4914.733303612392,47623.54613627785,141789.52544608322,82562.04376067141
42,43.74355650519737,491.5715064128788,4723.529239359862,47623.54613627785,141789.52544608322,82562.04376067141
43,44.85349250403605,481.7860982682199,4813.762633761466,47623.54613627785,141789.52544608322,82562.04376067141
44,44.71119310578611,479.18144618580305,4797.3709541869575,47623.54613627785,141789.52544608322,82562.04376067141
45,44.06273615113614,484.2552231401412,4738.315811067561,47623.54613627785,141789.52544608322,82562.04376067141
46,45.023502617758346,476.474403094943,4822.30847579548,47623.54613627785,141789.52544608322,82562.04376067141
47,43.2848693799031,487.19201336849216,4664.370522102205,47623.54613627785,141789.52544608322,82562.04376067141
48,45.87189125324603,463.7665625559173,4886.5049196618165,47623.54613627785,141789.52544608322,82562.04376067141
49,43.8111687425017,479.6946210760832,4706.865708276994,47623.54613627785,141789.52544608322,82562.04376067141
50,45.08189496347936,466.7264667023354,4812.929916482434,47623.54613627785,141789.52544608322,82562.04376067141
51,44.06139479137773,475.6142483856908,4716.236243307997,47623.54613627785,141789.52544608322,82562.04376067141
52,43.820535429817674,472.21644111883836,4696.790216818452,47623.54613627785,141789.52544608322,82562.04376067141
53,44.00629436346698,469.72756058502057,4705.525433117148,47623.54613627785,141789.52544608322,82562.04376067141
54,44.266864704901984,468.1744569497093,4729.262371983104,47623.54613627785,141789.52544608322,82562.04376067141
55,43.13748369326188,475.28984896138513,4622.589338097301,47623.54613627785,141789.52544608322,82562.04376067141
56,44.16937735281398,466.2258956968874,4712.399938722067,47623.54613627785,141789.52544608322,82562.04376067141
57,42.657955594933156,477.3407122480306,4572.057841654655,47623.54613627785,141789.52544608322,82562.04376067141
58,44.02180793456295,462.808662673118,4698.216010346646,47623.54613627785,141789.52544608322,82562.04376067141
59,43.175204825191514,467.75373577222166,4608.7791807126005,47623.54613627785,141789.52544608322,82562.04376067141
60,43.39081862022993,467.5704407480032,4626.475265620969,47623.54613627785,141789.52544608322,82562.04376067141
61,43.68286648122409,464.0896223661365,4648.551236472707,47623.54613627785,141789.52544608322,82562.04376067141
62,43.42242581858874,463.52824573889234,4612.732642514327,47623.54613627785,141789.52544608322,82562.04376067141
63,43.05664928970526,462.52281582965344,4581.42570072779,47623.54613627785,141789.52544608322,82562.04376067141
64,42.42297219159176,464.8224291835504,4527.283262782036,47623.54613627785,141789.52544608322,82562.04376067141
65,43.02645151117597,457.118989693509,4574.369250988861,47623.54613627785,141789.52544608322,82562.04376067141
66,43.30355790683211,457.53843138471797,4595.2296789026,47623.54613627785,141789.52544608322,82562.04376067141
67,43.01863548550632,457.67126530402516,4559.564454611025,47623.54613627785,141789.52544608322,82562.04376067141
68,43.44114408438411,451.7134825672043,4589.617314161761,47623.54613627785,141789.52544608322,82562.04376067141
69,43.53759867170351,449.4412207494588,4597.167304036916,47623.54613627785,141789.52544608322,82562.04376067141
70,41.93695657042327,460.9117758634888,4456.49532984642,47623.54613627785,141789.52544608322,82562.04376067141
71,41.564164499563354,464.0199061544878,4419.661983674291,47623.54613627785,141789.52544608322,82562.04376067141
72,43.192845567041196,447.6062538369733,4561.56233763978,47623.54613627785,141789.52544608322,82562.04376067141
73,43.1283379450536,446.90944559783986,4546.136139276983,47623.54613627785,141789.52544608322,82562.04376067141
74,41.962563947554834,453.26891527537896,4453.398099523189,47623.54613627785,141789.52544608322,82562.04376067141
75,42.53614311952974,449.6095879668371,4482.491695648569,47623.54613627785,141789.52544608322,82562.04376067141
76,42.538745425123224,449.7364546375052,4488.3317802733545,47623.54613627785,141789.52544608322,82562.04376067141
77,41.80271193753304,454.32868107215404,4405.630526772987,47623.54613627785,141789.52544608322,82562.04376067141
78,42.40767512221348,445.30270913767765,4461.903749756737,47623.54613627785,141789.52544608322,82562.04376067141
79,40.93870127155177,457.0599453724727,4336.745062078015,47623.54613627785,141789.52544608322,82562.04376067141
80,43.61442345722007,431.80068419896367,4558.859545704958,47623.54613627785,141789.52544608322,82562.04376067141
81,41.90385165876691,448.4674121010215,4405.1530363309685,47623.54613627785,141789.52544608322,82562.04376067141
82,42.051911510117336,448.0456460161245,4415.507821044889,47623.54613627785,141789.52544608322,82562.04376067141
83,42.121631241606096,437.68501376945204,4425.182265503988,47623.54613627785,141789.52544608322,82562.04376067141
84,41.75579905398463,440.54123027172955,4364.23012338402,47623.54613627785,141789.52544608322,82562.04376067141
85,41.654315660803206,442.8586186813644,4354.931577436301,47623.54613627785,141789.52544608322,82562.04376067141
86,41.94640011693608,439.8423440217449,4373.268417930916,47623.54613627785,141789.52544608322,82562.04376067141
87,42.192175166965725,431.86931211615155,4396.638390726386,47623.54613627785,141789.52544608322,82562.04376067141
88,40.86010296397816,444.4806822639078,4288.963586517115,47623.54613627785,141789.52544608322,82562.04376067141
89,41.65796245516308,437.28078940991253,4355.726103012554,47623.54613627785,141789.52544608322,82562.04376067141
90,41.36471340415189,435.45642788743305,4316.603429038599,47623.54613627785,141789.52544608322,82562.04376067141
91,42.71860960191357,424.97894916518624,4431.033255726227,47623.54613627785,141789.52544608322,82562.04376067141
92,41.7675294836666,432.7040550397081,4342.359342113483,47623.54613627785,141789.52544608322,82562.04376067141
93,40.76323656032741,440.77334249711595,4259.861947313989,47623.54613627785,141789.52544608322,82562.04376067141
94,41.74833176701394,426.894116790957,4340.098907765513,47623.54613627785,141789.52544608322,82562.04376067141
95,41.36868157063613,427.28162614568174,4311.316770316648,47623.54613627785,141789.52544608322,82562.04376067141
96,41.85621707541125,428.6847734385351,4339.003039282275,47623.54613627785,141789.52544608322,82562.04376067141
97,40.74380502456747,436.28841548004675,4228.492396316771,47623.54613627785,141789.52544608322,82562.04376067141
98,40.93153303138599,431.0458331675264,4247.072550545958,47623.54613627785,141789.52544608322,82562.04376067141
99,41.532299731124034,427.5186407136516,4282.78121083835,47623.54613627785,141789.52544608322,82562.04376067141
100,42.165179901366436,417.43296723872083,4341.474182773018,47623.54613627785,141789.52544608322,82562.04376067141
101,40.87136353406999,429.32436869533296,4197.466288494626,47623.54613627785,141789.52544608322,82562.04376067141
102,40.976688684120106,426.025492726436,4228.346157733483,47623.54613627785,141789.52544608322,82562.04376067141
103,40.80462425731014,428.7647964343459,4178.943067395191,47623.54613627785,141789.52544608322,82562.04376067141
104,40.99651648221088,427.99370988845567,4198.331016761201,47623.54613627785,141789.52544608322,82562.04376067141
105,40.65305335534169,423.2630857569258,4189.057750770835,47623.54613627785,141789.52544608322,82562.04376067141
106,41.070171969959866,420.78886667967106,4212.49210493972,47623.54613627785,141789.52544608322,82562.04376067141
107,40.361394235316496,424.880725947106,4143.182076408456,47623.54613627785,141789.52544608322,82562.04376067141
108,40.925688013417975,420.77166788870454,4169.30341726005,47623.54613627785,141789.52544608322,82562.04376067141
109,40.52655017988675,421.5283597453048,4151.920750504573,47623.54613627785,141789.52544608322,82562.04376067141
110,41.147107549009625,419.21340545916456,4187.131042889168,47623.54613627785,141789.52544608322,82562.04376067141
111,39.90651415948703,424.1650433946277,4059.8125663891715,47623.54613627785,141789.52544608322,82562.04376067141
112,40.43976341186398,419.57696176748004,4145.0695377258635,47623.54613627785,141789.52544608322,82562.04376067141
113,40.7408845305596,414.912260381287,4167.974911199668,47623.54613627785,141789.52544608322,82562.04376067141
114,40.569690801726495,418.55891046664095,4140.098496568715,47623.54613627785,141789.52544608322,82562.04376067141
115,41.42661221078049,412.1691174010915,4167.212520599001,47623.54613627785,141789.52544608322,82562.04376067141
116,41.72548269528478,404.0864730515475,4222.263262633521,47623.54613627785,141789.52544608322,82562.04376067141
117,40.41865705911031,414.8433670027956,4082.110363065687,47623.54613627785,141789.52544608322,82562.04376067141
118,39.99028658937831,418.4223992758235,4017.472405007672,47623.54613627785,141789.52544608322,82562.04376067141
119,39.98158975195307,414.38339575218674,4016.0918650052217,47623.54613627785,141789.52544608322,82562.04376067141
120,40.14515159776865,410.9838630902052,4060.4957791381353,47623.54613627785,141789.52544608322,82562.04376067141
121,41.25109585026505,405.18829970560915,4118.306081424788,47623.54613627785,141789.52544608322,82562.04376067141
122,40.332338204359104,408.9805534308123,4078.973348035373,47623.54613627785,141789.52544608322,82562.04376067141
123,40.2359115824896,404.7124387100803,4063.593010359544,47623.54613627785,141789.52544608322,82562.04376067141
124,39.05146447962603,415.11101174723154,3960.8764471115633,47623.54613627785,141789.52544608322,82562.04376067141
125,39.67957804926296,410.53815860760744,3985.7539053752944,47623.54613627785,141789.52544608322,82562.04376067141
126,41.64566826856394,389.5277801389347,4148.199057573049,47623.54613627785,141789.52544608322,82562.04376067141
127,40.91753177242248,395.8487412514211,4072.2399537435226,47623.54613627785,141789.52544608322,82562.04376067141
128,41.40132524176585,386.54039148569746,4127.820872730895,47623.54613627785,141789.52544608322,82562.04376067141
129,40.06179344465099,393.9486039104403,4008.2306071700473,47623.54613627785,141789.52544608322,82562.04376067141
130,40.66544221250102,395.2802580482798,4042.7368397745618,47623.54613627785,141789.52544608322,82562.04376067141
131,39.87344191503605,400.79319134934474,3977.2922643333977,47623.54613627785,141789.52544608322,82562.04376067141
132,39.36302579335289,405.26784316759506,3921.3961306315805,47623.54613627785,141789.52544608322,82562.04376067141
133,40.44779014322216,394.33311093107596,3978.8603034611097,47623.54613627785,141789.52544608322,82562.04376067141
134,39.631582265161555,402.06059174037017,3894.9095864439123,47623.54613627785,141789.52544608322,82562.04376067141
135,39.402198065966324,396.248306687964,3898.0133928450955,47623.54613627785,141789.52544608322,82562.04376067141
136,39.86580368776228,391.3073936657055,3951.6375352164464,47623.54613627785,141789.52544608322,82562.04376067141
137,39.8552201713516,400.11504905705954,3953.8404419436592,47623.54613627785,141789.52544608322,82562.04376067141
138,39.96006039429109,391.5597831756284,3943.1318401011035,47623.54613627785,141789.52544608322,82562.04376067141
139,39.95156480646657,396.06764209081814,3937.455731465643,47623.54613627785,141789.52544608322,82562.04376067141
140,41.02457949383696,389.1489605434055,4011.3047901555033,47623.54613627785,141789.52544608322,82562.04376067141
141,39.896242286023494,387.68308064090917,3915.3015943780583,47623.54613627785,141789.52544608322,82562.04376067141
142,40.22859209696632,386.35525178071845,3957.6149931624964,47623.54613627785,141789.52544608322,82562.04376067141
143,40.48942273417843,386.7736126226392,3933.8751667378356,47623.54613627785,141789.52544608322,82562.04376067141
144,39.252389459677865,397.42175242246526,3840.885939404692,47623.54613627785,141789.52544608322,82562.04376067141
145,39.59633099856461,393.290594574967,3826.941247127408,47623.54613627785,141789.52544608322,82562.04376067141
146,38.843421475230926,394.20457323228504,3778.9786668589777,47623.54613627785,141789.52544608322,82562.04376067141
147,39.31399032650766,394.6201340971599,3798.518418789915,47623.54613627785,141789.52544608322,82562.04376067141
148,40.40748735659416,383.9158013386906,3876.8753148051833,47623.54613627785,141789.52544608322,82562.04376067141
149,40.420443852763455,380.9315852173139,3894.6273586100933,47623.54613627785,141789.52544608322,82562.04376067141
150,39.84199886712534,386.06378041189663,3845.7215871730205,47623.54613627785,141789.52544608322,82562.04376067141
151,39.243165442514616,384.65191786167463,3805.0200131680213,47623.54613627785,141789.52544608322,82562.04376067141
152,41.173620460105795,375.7957192977105,3924.9186816005936,47623.54613627785,141789.52544608322,82562.04376067141
153,40.30197840224293,378.6363658477499,3819.8394011696696,47623.54613627785,141789.52544608322,82562.04376067141
154,40.40679309010784,374.94079857776234,3876.66600417531,47623.54613627785,141789.52544608322,82562.04376067141
155,39.54471669817923,379.91386491650974,3743.1049775544325,47623.54613627785,141789.52544608322,82562.04376067141
156,39.23173474111561,378.3483487370797,3787.761386561331,47623.54613627785,141789.52544608322,82562.04376067141
157,39.25916516916235,385.2748963803258,3748.9408505544793,47623.54613627785,141789.52544608322,82562.04376067141
158,39.054707809977884,384.3317622104603,3702.0364483113376,47623.54613627785,141789.52544608322,82562.04376067141
159,39.44616386526377,375.5923608801787,3769.6985821450667,47623.54613627785,141789.52544608322,82562.04376067141
160,39.644815252795745,372.5905192908888,3766.1132110629933,47623.54613627785,141789.52544608322,82562.04376067141
161,39.38009883044953,381.5703757489777,3726.8128196346843,47623.54613627785,141789.52544608322,82562.04376067141
162,37.47467905105914,387.0280017726148,3585.4388348105995,47623.54613627785,141789.52544608322,82562.04376067141
163,40.42194159140571,373.4248332665602,3779.279009890972,47623.54613627785,141789.52544608322,82562.04376067141
164,39.46374184805554,373.73130107858515,3709.701232701454,47623.54613627785,141789.52544608322,82562.04376067141
165,41.37566919696215,357.6740557434883,3889.7055170285453,47623.54613627785,141789.52544608322,82562.04376067141
166,39.79705085262785,370.7563956352672,3760.657498052624,47623.54613627785,141789.52544608322,82562.04376067141
167,39.995981833931744,368.94621611876795,3751.3960361817394,47623.54613627785,141789.52544608322,82562.04376067141
